x_over_L,P_over_Pt,Mach,ro,u,P
1.92460313e-01,8.46251667e-01,4.94194597e-01,1.22797108e+00,1.68289612e+02,1.01713523e+05
1.92460313e-01,8.46096396e-01,4.94490653e-01,1.22780979e+00,1.68386032e+02,1.01694867e+05
1.96428582e-01,8.46534193e-01,4.93695378e-01,1.22826314e+00,1.68127670e+02,1.01747484e+05
1.96428582e-01,8.46372783e-01,4.94005322e-01,1.22809708e+00,1.68228561e+02,1.01728086e+05
1.96428582e-01,8.46210837e-01,4.94316280e-01,1.22792852e+00,1.68329895e+02,1.01708617e+05
2.00396836e-01,8.46663237e-01,4.93488878e-01,1.22839713e+00,1.68060989e+02,1.01762992e+05
2.00396836e-01,8.46494436e-01,4.93815094e-01,1.22822309e+00,1.68167236e+02,1.01742703e+05
2.00396836e-01,8.46325278e-01,4.94141638e-01,1.22804737e+00,1.68273666e+02,1.01722375e+05
2.04365090e-01,8.46438646e-01,4.93968368e-01,1.22816467e+00,1.68217896e+02,1.01736000e+05
2.04365090e-01,8.46615493e-01,4.93625134e-01,1.22834837e+00,1.68105988e+02,1.01757258e+05
2.04365090e-01,8.46792161e-01,4.93282109e-01,1.22853065e+00,1.67994247e+02,1.01778492e+05
2.08333328e-01,8.46919775e-01,4.93076503e-01,1.22866344e+00,1.67927795e+02,1.01793828e+05
2.08333328e-01,8.46734703e-01,4.93437290e-01,1.22847176e+00,1.68045410e+02,1.01771586e+05
2.08333328e-01,8.46549332e-01,4.93798047e-01,1.22827971e+00,1.68163010e+02,1.01749305e+05
2.12301567e-01,8.47044945e-01,4.92873222e-01,1.22879326e+00,1.67862091e+02,1.01808875e+05
2.12301567e-01,8.46851051e-01,4.93252933e-01,1.22859216e+00,1.67985931e+02,1.01785570e+05
2.12301567e-01,8.46656740e-01,4.93631989e-01,1.22839081e+00,1.68109512e+02,1.01762211e+05
2.16269836e-01,8.47166121e-01,4.92674410e-01,1.22891891e+00,1.67797806e+02,1.01823438e+05
2.16269836e-01,8.46962750e-01,4.93073791e-01,1.22870827e+00,1.67928070e+02,1.01798992e+05
2.16269836e-01,8.46759439e-01,4.93472457e-01,1.22849727e+00,1.68058090e+02,1.01774555e+05
2.20238090e-01,8.46855104e-01,4.93321478e-01,1.22859693e+00,1.68009354e+02,1.01786055e+05
2.20238090e-01,8.47068310e-01,4.92902219e-01,1.22881794e+00,1.67872604e+02,1.01811680e+05
2.20238090e-01,8.47281516e-01,4.92481887e-01,1.22903872e+00,1.67735474e+02,1.01837305e+05
2.24206328e-01,8.47390056e-01,4.92297739e-01,1.22915137e+00,1.67675812e+02,1.01850352e+05
2.24206328e-01,8.47166300e-01,4.92740303e-01,1.22891963e+00,1.67820221e+02,1.01823461e+05
2.24206328e-01,8.46943259e-01,4.93180752e-01,1.22868812e+00,1.67963943e+02,1.01796648e+05
2.28174582e-01,8.47489893e-01,4.92124438e-01,1.22925472e+00,1.67619629e+02,1.01862352e+05
2.28174582e-01,8.47255230e-01,4.92590100e-01,1.22901154e+00,1.67771606e+02,1.01834148e+05
2.28174582e-01,8.47021639e-01,4.93053287e-01,1.22876918e+00,1.67922760e+02,1.01806070e+05
