x_over_L,P_over_Pt,Mach,ro,u,P
2.59920627e-01,2.18394741e-01,1.65000045e+00,4.00721222e-01,4.55772400e+02,2.18394746e+04
2.59920627e-01,2.18394652e-01,1.65000045e+00,4.00720775e-01,4.55772491e+02,2.18394648e+04
2.59920627e-01,2.18394741e-01,1.65000033e+00,4.00721163e-01,4.55772369e+02,2.18394746e+04
2.63888866e-01,2.18394741e-01,1.65000069e+00,4.00721312e-01,4.55772400e+02,2.18394746e+04
2.63888866e-01,2.18394727e-01,1.64999986e+00,4.00720835e-01,4.55772430e+02,2.18394727e+04
2.63888866e-01,2.18394786e-01,1.64999986e+00,4.00721133e-01,4.55772339e+02,2.18394785e+04
2.67857105e-01,2.18394727e-01,1.65000057e+00,4.00721163e-01,4.55772430e+02,2.18394727e+04
2.67857105e-01,2.18394741e-01,1.65000010e+00,4.00720894e-01,4.55772461e+02,2.18394746e+04
2.67857105e-01,2.18394771e-01,1.65000045e+00,4.00721312e-01,4.55772339e+02,2.18394766e+04
2.71825403e-01,2.18394727e-01,1.65000045e+00,4.00721192e-01,4.55772400e+02,2.18394727e+04
2.71825403e-01,2.18394771e-01,1.64999950e+00,4.00720894e-01,4.55772339e+02,2.18394766e+04
2.71825403e-01,2.18394682e-01,1.65000081e+00,4.00721163e-01,4.55772430e+02,2.18394688e+04
2.75793672e-01,2.18394682e-01,1.65000045e+00,4.00721133e-01,4.55772400e+02,2.18394688e+04
2.75793672e-01,2.18394727e-01,1.65000010e+00,4.00720894e-01,4.55772461e+02,2.18394727e+04
2.75793672e-01,2.18394786e-01,1.64999998e+00,4.00721192e-01,4.55772308e+02,2.18394785e+04
2.79761910e-01,2.18394622e-01,1.65000081e+00,4.00721014e-01,4.55772491e+02,2.18394629e+04
2.79761910e-01,2.18394667e-01,1.65000057e+00,4.00720894e-01,4.55772522e+02,2.18394668e+04
2.79761910e-01,2.18394667e-01,1.65000057e+00,4.00721103e-01,4.55772430e+02,2.18394668e+04
2.83730179e-01,2.18394682e-01,1.65000010e+00,4.00721043e-01,4.55772339e+02,2.18394688e+04
2.83730179e-01,2.18394786e-01,1.65000010e+00,4.00720984e-01,4.55772430e+02,2.18394785e+04
2.83730179e-01,2.18394667e-01,1.65000057e+00,4.00721103e-01,4.55772430e+02,2.18394668e+04
2.87698418e-01,2.18394667e-01,1.65000057e+00,4.00721073e-01,4.55772430e+02,2.18394668e+04
2.87698418e-01,2.18394786e-01,1.64999998e+00,4.00720924e-01,4.55772461e+02,2.18394785e+04
2.87698418e-01,2.18394682e-01,1.65000045e+00,4.00721014e-01,4.55772430e+02,2.18394688e+04
2.91666657e-01,2.18394652e-01,1.65000081e+00,4.00721073e-01,4.55772430e+02,2.18394648e+04
2.91666657e-01,2.18394786e-01,1.64999986e+00,4.00720924e-01,4.55772430e+02,2.18394785e+04
2.91666657e-01,2.18394667e-01,1.65000021e+00,4.00720924e-01,4.55772430e+02,2.18394668e+04
2.95634896e-01,2.18394727e-01,1.64999974e+00,4.00721043e-01,4.55772308e+02,2.18394727e+04
2.95634896e-01,2.18394741e-01,1.65000033e+00,4.00721043e-01,4.55772461e+02,2.18394746e+04
2.95634896e-01,2.18394622e-01,1.65000057e+00,4.00720984e-01,4.55772430e+02,2.18394629e+04
2.99603164e-01,2.18394667e-01,1.65000057e+00,4.00720984e-01,4.55772461e+02,2.18394668e+04
2.99603164e-01,2.18394727e-01,1.65000045e+00,4.00721014e-01,4.55772491e+02,2.18394727e+04
2.99603164e-01,2.18394652e-01,1.65000021e+00,4.00721014e-01,4.55772339e+02,2.18394648e+04
3.03571403e-01,2.18394667e-01,1.65000057e+00,4.00721073e-01,4.55772430e+02,2.18394668e+04
3.03571403e-01,2.18394712e-01,1.65000033e+00,4.00720954e-01,4.55772461e+02,2.18394707e+04
3.03571403e-01,2.18394682e-01,1.65000045e+00,4.00721014e-01,4.55772430e+02,2.18394688e+04
3.07539672e-01,2.18394741e-01,1.64999998e+00,4.00721103e-01,4.55772308e+02,2.18394746e+04
3.07539672e-01,2.18394727e-01,1.65000069e+00,4.00720954e-01,4.55772552e+02,2.18394727e+04
3.07539672e-01,2.18394682e-01,1.65000045e+00,4.00721014e-01,4.55772430e+02,2.18394688e+04
3.11507910e-01,2.18394652e-01,1.65000033e+00,4.00720984e-01,4.55772369e+02,2.18394648e+04
3.11507910e-01,2.18394727e-01,1.65000033e+00,4.00720924e-01,4.55772522e+02,2.18394727e+04
3.11507910e-01,2.18394667e-01,1.65000069e+00,4.00721043e-01,4.55772461e+02,2.18394668e+04
3.15476209e-01,2.18394727e-01,1.65000021e+00,4.00721133e-01,4.55772339e+02,2.18394727e+04
