role,L_c,M_K,n_axis,hard_gate,error,x_K,ell_K,xi_K,s_K,Mpp_sign_changes,single_peak,theta_max_deg,min_mu_minus_theta_deg,flip_interior,topology_margin,downstream_max_dkds,downstream_J_dkds2,Mppp_jump,max_Mppp,J_axis
sweep,40.0,3.6,600,True,,7.457245397265709,7.03264068299111,0.17581601707477773,0.14559855867872104,1,True,18.15380022999799,0.40989543184779015,0,0.06344790831164153,0.8209254775443358,0.10741853611187398,0.02574937339728098,0.12140909682642112,0.015286856882904947
sweep,40.0,3.7,600,True,,7.793785705998875,7.369180991724276,0.1842295247931069,0.14097102493300467,1,True,18.630359550440886,0.23949531601495944,0,0.06254057441134407,0.8459311222093321,0.13864477561662975,0.022973770849310137,0.1142375502827207,0.014037129005831825
sweep,40.0,3.8,600,True,,8.13569317559839,7.711088461323792,0.1927772115330948,0.1362696910587898,1,True,19.10197833803202,0.06209282219657,0,0.061391874389835364,1.5837184360250691,0.25664103353430273,0.02053956063329276,0.10773165166118537,0.012937372644393975
sweep,40.0,3.9,600,True,,8.483233089633844,8.058628375359245,0.20146570938398112,0.13149090932463167,1,True,19.56646866040635,-0.12052140280926196,0,0.060135893804382654,1.9785609291184838,0.3269060071493196,0.01839530064834447,0.10180423171924631,0.011963994154606984
sweep,40.0,4.0,600,True,,8.83669333329341,8.41208861901881,0.21030221547547026,0.12663072121977542,1,True,20.02529305909828,-0.3101156665552213,0,0.05860493260701915,2.4689934643362075,0.8093642216414891,0.01649865749162105,0.09638223232383988,0.01109784741943535
sweep,45.0,1.5,600,False,,1.34213958313767,0.9175348688630713,0.020389663752512697,0.20416281106845355,1,True,15.085449145462144,1.2874291480948383,0,0.05377840115606376,40.45342742423473,276.67500431597705,2.2806517268639213,3.01939024947262,2.16822741268663
sweep,45.0,1.6,600,False,,1.6125356431265403,1.1879309288519417,0.026398465085598705,0.2008578957024228,1,True,14.995108874368912,1.3220334015365574,0,0.054708451982530985,37.39628277204443,179.19041123737333,1.342380160092208,1.9128251777768464,1.0647230933487992
sweep,45.0,1.7,600,True,,1.8853809906135677,1.4607762763389691,0.03246169502975487,0.19752304392433162,1,True,14.921146507503137,1.3691380275178142,0,0.05567577960460113,26.967633072961974,121.48858264697124,0.8756512405403152,1.3394327932472654,0.610082775145646
sweep,45.0,1.8,600,True,,2.1607434145346796,1.736138700260081,0.03858086000577958,0.1941574271839323,1,True,14.829313026189263,1.408231943315426,0,0.056673810129733465,18.14075074996225,68.93611508883818,0.6112972953182779,1.0014236078722216,0.3870494912551389
sweep,45.0,1.9,600,True,,2.438693889747086,2.0140891754724874,0.044757537232721946,0.19076017799118325,1,True,14.738327270496455,1.4545399566864134,0,0.057711938404085915,13.908554123012923,37.04463462756688,0.4477787565643785,0.7839833872486481,0.263924699468304
sweep,45.0,2.0,600,True,,2.71930679067214,2.2947020763975416,0.05099337947550093,0.18733038730490958,1,True,14.646422001757127,1.5025232658752394,0,0.058786247480572186,9.926786030681832,24.284433660621684,0.33996879775494626,0.6349871771168915,0.18989925014579384
sweep,45.0,2.1,600,True,,3.002660123713579,2.5780554094389805,0.05729012020975512,0.18386710169188042,1,True,14.54300494398578,1.552201555709001,0,0.05990300378430719,6.8443582055608525,12.536784736498856,0.2653647219562514,0.5278932247755768,0.14242306307527086
sweep,45.0,2.2,600,True,,3.2888357805461257,2.864231066271527,0.06364957925047839,0.18036932023130633,1,True,14.432995607257022,1.6039324456583293,0,0.06106228402423925,5.296405954659479,6.4258690937685214,0.21174164966778514,0.4479821756616677,0.11039283387306711
sweep,45.0,2.3,600,True,,3.5779198145433093,3.1533151002687108,0.07007366889486023,0.17683599113600318,1,True,14.32334238463188,1.662252034515555,0,0.06226653104869123,3.083864416403216,2.5555600846544086,0.17200222426136058,0.38653286892944794,0.08788455932601348
sweep,45.0,2.4,600,True,,3.870002743027871,3.4453980287532726,0.07656440063896161,0.17326600805807177,1,True,14.207333164797946,1.7166197571844615,0,0.06352144350060897,2.265777744113643,1.351014577757952,0.14180140218615608,0.3380977368468504,0.07152866706246773
sweep,45.0,2.5,600,True,,4.165179878365617,3.7405751640910183,0.08312389253535596,0.16965820604236215,1,True,14.105432750061256,1.7783495809559204,0,0.06408516046116373,1.3222430038797057,0.5180988234778484,0.11836109415738803,0.29912380306000996,0.05930567448123547
sweep,45.0,2.6,600,True,,4.463551691284403,4.038946977009804,0.08975437726688452,0.16601135708555553,1,True,14.039328372849429,1.8446684114151728,0,0.06461893571193365,1.037047292612961,0.2505402509319715,0.09983959685249028,0.26720882180068806,0.049951386757040896
sweep,45.0,2.7,600,True,,4.765224210398387,4.340619496123788,0.09645821102497305,0.16232416525310306,1,True,14.046569172984697,1.9127047632689755,0,0.06512406619888993,0.8709782299815213,0.21879846096491964,0.0849779610849793,0.24067832254146082,0.04264472472306057
sweep,45.0,2.8,600,True,,5.070309462411418,4.6457047481368186,0.1032378832919293,0.1585952612988455,1,True,14.127305166506448,1.9726618240157137,0,0.06568427104965276,0.6929158163236572,0.13248656224763222,0.07289265515209659,0.21833421977156378,0.036835299136695684
sweep,45.0,2.9,600,True,,5.378925958179424,4.954321243904825,0.11009602764232945,0.15482319672397427,1,True,14.27672537550159,2.014343617397447,0,0.06630330335597254,0.5025192018485601,0.10843761625889758,0.06294929877751704,0.19929963210089438,0.03214393131652304
