stage,L_c,M_K,n_axis,robust,hard_gate,single_peak,x_F,x_E,xF_minus_xE,theta_max_deg,min_mu_minus_theta_deg,min_sin_angle_interior,flip_interior,crossings
coarse,39.5,2.7,600,True,True,True,94.53306316829851,39.9246047142746,54.60845845402391,15.87753334670193,1.073265532526552,0.05969251019115593,0,0
coarse,39.5,2.8,600,True,True,True,94.53306327182364,39.9246047142746,54.608458557549035,16.01634625186924,1.0863600848524233,0.060290820213524936,0,0
coarse,39.5,2.9,600,True,True,True,94.53306338303783,39.9246047142746,54.60845866876323,16.190903661589065,1.0662920962842841,0.06081498959009845,0,0
coarse,39.5,3.0,600,True,True,True,94.5330635025323,39.9246047142746,54.6084587882577,16.397249469364716,1.0190017871978243,0.061420980011731886,0,0
coarse,39.5,3.1,600,False,True,True,94.53306363095548,39.9246047142746,54.60845891668088,16.632162383744102,0.9465174750875963,0.06207503445292176,0,0
coarse,39.5,3.2,600,False,True,True,94.5330637690224,39.9246047142746,54.608459054747804,16.892580467488088,0.8513733133570168,0.06280022594611064,0,0
coarse,40.0,2.2,600,False,True,True,95.22236486882205,40.4246047142746,54.797760154547454,15.784863731505245,0.8784990675577128,0.05804991449658052,0,0
coarse,40.0,2.3,600,False,True,True,95.22236487783438,40.4246047142746,54.79776016355978,15.68182533611914,0.9319323142126381,0.0584469992022825,0,0
coarse,40.0,2.4,600,False,True,True,95.22236488749787,40.4246047142746,54.797760173223274,15.609622651313087,0.9932673868963514,0.05888272382108152,0,0
coarse,40.0,2.5,600,True,True,True,95.2223648978584,40.4246047142746,54.7977601835838,15.581108025827788,1.0574751868675785,0.05935961305923179,0,0
coarse,40.0,2.6,600,True,True,True,95.22236490896432,40.4246047142746,54.79776019468972,15.6145763190847,1.116873816155051,0.05973622606333038,0,0
coarse,40.0,2.7,600,True,True,True,95.22236492087019,40.4246047142746,54.79776020659559,15.701205465257766,1.1587141559327223,0.06030532078876371,0,0
coarse,40.0,2.8,600,True,True,True,95.22236493363312,40.4246047142746,54.797760219358516,15.83114476200626,1.175503400220917,0.06078297270278361,0,0
coarse,40.0,2.9,600,True,True,True,95.22236494731789,40.4246047142746,54.797760233043284,16.00002090826408,1.1644631805737167,0.061350258884559375,0,0
coarse,40.0,3.0,600,True,True,True,95.22236496199422,40.4246047142746,54.797760247719616,16.20859975267226,1.1188408923089797,0.06194870278710028,0,0
coarse,40.0,3.1,600,True,True,True,95.22236497773882,40.4246047142746,54.79776026346422,16.4498688077668,1.0466020071745525,0.06261350612175533,0,0
coarse,40.0,3.2,600,False,True,True,95.22236499463587,40.4246047142746,54.79776028036127,16.718249971921235,0.9520205672153499,0.06335006727138383,0,0
fine,39.0,2.5,600,False,True,True,94.13772151051789,39.4246047142746,54.71311679624329,15.922834620393179,0.8985132203132532,0.05828546543278844,0,0
fine,39.0,2.52,600,False,True,True,94.13772151692191,39.4246047142746,54.71311680264731,15.932549997249446,0.9084915978621463,0.05830566560558454,0,0
fine,39.0,2.54,600,False,True,True,94.13772152342244,39.4246047142746,54.71311680914784,15.941600950542396,0.9187260638116378,0.058452749906297966,0,0
fine,39.0,2.56,600,False,True,True,94.13772153002053,39.4246047142746,54.71311681574593,15.94910790549941,0.9296300634796694,0.058611270979520014,0,0
fine,39.0,2.58,600,False,True,True,94.13772153671722,39.4246047142746,54.71311682244262,15.955778817930517,0.9411641610010192,0.058627420559430106,0,0
fine,39.0,2.6,600,False,True,True,94.13772154351443,39.4246047142746,54.71311682923983,15.974337409379837,0.9521570080122688,0.05878952462159422,0,0
fine,39.0,2.62,600,False,True,True,94.13772155041316,39.4246047142746,54.71311683613856,15.991274037127706,0.9589381917915819,0.05880968493770978,0,0
fine,39.0,2.64,600,False,True,True,94.137721557415,39.4246047142746,54.713116843140405,16.006676441061995,0.9665409431262241,0.058975428974200265,0,0
fine,39.0,2.66,600,False,True,True,94.13772156452221,39.4246047142746,54.71311685024761,16.020630358400265,0.9747227054868531,0.058999748903475716,0,0
fine,39.0,2.68,600,False,True,True,94.13772157173513,39.4246047142746,54.71311685746053,16.046438819712904,0.9821401103494282,0.0591692705079124,0,0
fine,39.0,2.7,600,False,True,True,94.13772157905582,39.4246047142746,54.71311686478122,16.071037442689654,0.9849725020190211,0.05919783643126577,0,0
fine,39.0,2.72,600,False,True,True,94.13772158648611,39.4246047142746,54.71311687221151,16.09408523414375,0.9884037170435575,0.059371241122462975,0,0
