Step , TotalTime , T , P , Ux , Uy , Uz
5680 , 2.83947e-06 , 225.287 , 1442.7 , 526.281 , 36.6217 , 1.89421
5700 , 2.84947e-06 , 225.234 , 1442.74 , 526.341 , 36.6252 , 1.91848
5720 , 2.85947e-06 , 225.181 , 1442.57 , 526.364 , 36.6551 , 1.94286
5740 , 2.86947e-06 , 225.129 , 1442.16 , 526.344 , 36.7133 , 1.96684
5760 , 2.87947e-06 , 225.075 , 1441.47 , 526.273 , 36.8028 , 1.98983
5780 , 2.88947e-06 , 225.02 , 1440.45 , 526.144 , 36.9262 , 2.01118
5800 , 2.89947e-06 , 224.965 , 1439.09 , 525.949 , 37.083 , 2.03021
5820 , 2.90947e-06 , 224.912 , 1437.42 , 525.69 , 37.2688 , 2.0463
5840 , 2.91947e-06 , 224.867 , 1435.49 , 525.372 , 37.4743 , 2.05879
5860 , 2.92947e-06 , 224.84 , 1433.48 , 525.013 , 37.6833 , 2.06703
5880 , 2.93947e-06 , 224.84 , 1431.6 , 524.647 , 37.8729 , 2.0702
5900 , 2.94947e-06 , 224.877 , 1430.13 , 524.311 , 38.0182 , 2.06754
5920 , 2.95947e-06 , 224.953 , 1429.29 , 524.043 , 38.1013 , 2.05859
5940 , 2.96947e-06 , 225.063 , 1429.18 , 523.866 , 38.1182 , 2.04341
5960 , 2.97947e-06 , 225.199 , 1429.74 , 523.788 , 38.0794 , 2.02258
5980 , 2.98947e-06 , 225.349 , 1430.86 , 523.807 , 38.0018 , 1.99686
6000 , 2.99947e-06 , 225.506 , 1432.42 , 523.923 , 37.8997 , 1.96684
6020 , 3.00947e-06 , 225.664 , 1434.36 , 524.136 , 37.7812 , 1.93277
6040 , 3.01947e-06 , 225.817 , 1436.58 , 524.441 , 37.6532 , 1.89486
6060 , 3.02947e-06 , 225.952 , 1438.92 , 524.818 , 37.5284 , 1.85349
