x,M_axis_run1,M_axis_run2,Mfit_run1,Mfit_run2
9.445300698280334473e-02,4.002066135406494141e+00,4.009148597717285156e+00,4.003292083740234375e+00,4.005924701690673828e+00
9.533801674842834473e-02,4.002414703369140625e+00,4.009589195251464844e+00,4.003578662872314453e+00,4.006069660186767578e+00
9.622302651405334473e-02,4.002686977386474609e+00,4.009892463684082031e+00,4.003786087036132812e+00,4.006138801574707031e+00
9.710803627967834473e-02,4.002868175506591797e+00,4.010104656219482422e+00,4.003908634185791016e+00,4.006140232086181641e+00
9.799305349588394165e-02,4.002953052520751953e+00,4.010200500488281250e+00,4.003950119018554688e+00,4.006080627441406250e+00
9.887806326150894165e-02,4.002954006195068359e+00,4.010223388671875000e+00,4.003918170928955078e+00,4.005972385406494141e+00
9.976307302713394165e-02,4.002914428710937500e+00,4.010141849517822266e+00,4.003847122192382812e+00,4.005822658538818359e+00
1.006480827927589417e-01,4.002843856811523438e+00,4.009945392608642578e+00,4.003749370574951172e+00,4.005639076232910156e+00
1.015330925583839417e-01,4.002749443054199219e+00,4.009634017944335938e+00,4.003629684448242188e+00,4.005438804626464844e+00
1.024181023240089417e-01,4.002625942230224609e+00,4.009231090545654297e+00,4.003485679626464844e+00,4.005221366882324219e+00
1.033031120896339417e-01,4.002480030059814453e+00,4.008780002593994141e+00,4.003321170806884766e+00,4.004977703094482422e+00
1.041881293058395386e-01,4.002324104309082031e+00,4.008374691009521484e+00,4.003146171569824219e+00,4.004722595214843750e+00
1.050731390714645386e-01,4.002113819122314453e+00,4.007971763610839844e+00,4.002935886383056641e+00,4.004460334777832031e+00
1.059581488370895386e-01,4.001883983612060547e+00,4.007601737976074219e+00,4.002706050872802734e+00,4.004174232482910156e+00
1.068431586027145386e-01,4.001645088195800781e+00,4.007243156433105469e+00,4.002466678619384766e+00,4.003874778747558594e+00
1.077281683683395386e-01,4.001408100128173828e+00,4.006903171539306641e+00,4.002225399017333984e+00,4.003573417663574219e+00
1.086131781339645386e-01,4.001170635223388672e+00,4.006585597991943359e+00,4.001979351043701172e+00,4.003268718719482422e+00
